algorithm,episodes,alpha,gamma,epsilon,episode,reward,steps,reached
montecarlo,2000,0.1,0.99,0.1,1,-12.6000,66,1
montecarlo,2000,0.1,0.99,0.1,2,-206.0000,200,0
montecarlo,2000,0.1,0.99,0.1,3,-93.6000,136,1
montecarlo,2000,0.1,0.99,0.1,4,8.6000,14,1
montecarlo,2000,0.1,0.99,0.1,5,8.8000,12,1
montecarlo,2000,0.1,0.99,0.1,6,1.6000,64,1
montecarlo,2000,0.1,0.99,0.1,7,5.8000,22,1
montecarlo,2000,0.1,0.99,0.1,8,-3.4000,114,1
montecarlo,2000,0.1,0.99,0.1,9,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,10,5.2000,28,1
montecarlo,2000,0.1,0.99,0.1,11,-3.1000,101,1
montecarlo,2000,0.1,0.99,0.1,12,7.2000,28,1
montecarlo,2000,0.1,0.99,0.1,13,5.1000,39,1
montecarlo,2000,0.1,0.99,0.1,14,3.8000,42,1
montecarlo,2000,0.1,0.99,0.1,15,0.3000,67,1
montecarlo,2000,0.1,0.99,0.1,16,8.8000,12,1
montecarlo,2000,0.1,0.99,0.1,17,6.6000,14,1
montecarlo,2000,0.1,0.99,0.1,18,7.4000,26,1
montecarlo,2000,0.1,0.99,0.1,19,-2.0000,80,1
montecarlo,2000,0.1,0.99,0.1,20,6.3000,27,1
montecarlo,2000,0.1,0.99,0.1,21,2.6000,54,1
montecarlo,2000,0.1,0.99,0.1,22,8.0000,20,1
montecarlo,2000,0.1,0.99,0.1,23,4.1000,49,1
montecarlo,2000,0.1,0.99,0.1,24,5.9000,31,1
montecarlo,2000,0.1,0.99,0.1,25,6.7000,23,1
montecarlo,2000,0.1,0.99,0.1,26,9.0000,10,1
montecarlo,2000,0.1,0.99,0.1,27,1.4000,66,1
montecarlo,2000,0.1,0.99,0.1,28,6.3000,27,1
montecarlo,2000,0.1,0.99,0.1,29,4.3000,47,1
montecarlo,2000,0.1,0.99,0.1,30,-0.7000,97,1
montecarlo,2000,0.1,0.99,0.1,31,8.6000,14,1
montecarlo,2000,0.1,0.99,0.1,32,7.4000,26,1
montecarlo,2000,0.1,0.99,0.1,33,8.1000,9,1
montecarlo,2000,0.1,0.99,0.1,34,6.4000,16,1
montecarlo,2000,0.1,0.99,0.1,35,4.5000,45,1
montecarlo,2000,0.1,0.99,0.1,36,3.8000,42,1
montecarlo,2000,0.1,0.99,0.1,37,7.1000,19,1
montecarlo,2000,0.1,0.99,0.1,38,4.1000,49,1
montecarlo,2000,0.1,0.99,0.1,39,5.5000,35,1
montecarlo,2000,0.1,0.99,0.1,40,1.3000,57,1
montecarlo,2000,0.1,0.99,0.1,41,1.5000,75,1
montecarlo,2000,0.1,0.99,0.1,42,8.0000,20,1
montecarlo,2000,0.1,0.99,0.1,43,0.4000,56,1
montecarlo,2000,0.1,0.99,0.1,44,6.5000,25,1
montecarlo,2000,0.1,0.99,0.1,45,4.9000,41,1
montecarlo,2000,0.1,0.99,0.1,46,3.8000,42,1
montecarlo,2000,0.1,0.99,0.1,47,6.1000,29,1
montecarlo,2000,0.1,0.99,0.1,48,8.2000,18,1
montecarlo,2000,0.1,0.99,0.1,49,6.6000,14,1
montecarlo,2000,0.1,0.99,0.1,50,-5.4000,134,1
montecarlo,2000,0.1,0.99,0.1,51,4.8000,32,1
montecarlo,2000,0.1,0.99,0.1,52,3.4000,46,1
montecarlo,2000,0.1,0.99,0.1,53,7.8000,22,1
montecarlo,2000,0.1,0.99,0.1,54,8.2000,18,1
montecarlo,2000,0.1,0.99,0.1,55,8.2000,18,1
montecarlo,2000,0.1,0.99,0.1,56,7.8000,22,1
montecarlo,2000,0.1,0.99,0.1,57,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,58,8.4000,16,1
montecarlo,2000,0.1,0.99,0.1,59,7.9000,11,1
montecarlo,2000,0.1,0.99,0.1,60,5.9000,31,1
montecarlo,2000,0.1,0.99,0.1,61,6.5000,25,1
montecarlo,2000,0.1,0.99,0.1,62,8.8000,12,1
montecarlo,2000,0.1,0.99,0.1,63,7.6000,24,1
montecarlo,2000,0.1,0.99,0.1,64,1.7000,53,1
montecarlo,2000,0.1,0.99,0.1,65,7.4000,26,1
montecarlo,2000,0.1,0.99,0.1,66,6.7000,23,1
montecarlo,2000,0.1,0.99,0.1,67,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,68,8.8000,12,1
montecarlo,2000,0.1,0.99,0.1,69,8.6000,14,1
montecarlo,2000,0.1,0.99,0.1,70,8.6000,14,1
montecarlo,2000,0.1,0.99,0.1,71,5.9000,31,1
montecarlo,2000,0.1,0.99,0.1,72,0.8000,92,1
montecarlo,2000,0.1,0.99,0.1,73,8.8000,12,1
montecarlo,2000,0.1,0.99,0.1,74,8.6000,14,1
montecarlo,2000,0.1,0.99,0.1,75,8.4000,16,1
montecarlo,2000,0.1,0.99,0.1,76,9.0000,10,1
montecarlo,2000,0.1,0.99,0.1,77,5.7000,33,1
montecarlo,2000,0.1,0.99,0.1,78,6.8000,32,1
montecarlo,2000,0.1,0.99,0.1,79,3.1000,59,1
montecarlo,2000,0.1,0.99,0.1,80,8.2000,18,1
montecarlo,2000,0.1,0.99,0.1,81,8.8000,12,1
montecarlo,2000,0.1,0.99,0.1,82,8.6000,14,1
montecarlo,2000,0.1,0.99,0.1,83,7.8000,22,1
montecarlo,2000,0.1,0.99,0.1,84,3.5000,55,1
montecarlo,2000,0.1,0.99,0.1,85,8.6000,14,1
montecarlo,2000,0.1,0.99,0.1,86,9.0000,10,1
montecarlo,2000,0.1,0.99,0.1,87,2.9000,41,1
montecarlo,2000,0.1,0.99,0.1,88,7.6000,24,1
montecarlo,2000,0.1,0.99,0.1,89,8.0000,20,1
montecarlo,2000,0.1,0.99,0.1,90,6.9000,21,1
montecarlo,2000,0.1,0.99,0.1,91,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,92,9.0000,10,1
montecarlo,2000,0.1,0.99,0.1,93,8.8000,12,1
montecarlo,2000,0.1,0.99,0.1,94,8.6000,14,1
montecarlo,2000,0.1,0.99,0.1,95,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,96,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,97,9.0000,10,1
montecarlo,2000,0.1,0.99,0.1,98,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,99,8.1000,9,1
montecarlo,2000,0.1,0.99,0.1,100,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,101,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,102,8.1000,9,1
montecarlo,2000,0.1,0.99,0.1,103,9.0000,10,1
montecarlo,2000,0.1,0.99,0.1,104,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,105,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,106,8.8000,12,1
montecarlo,2000,0.1,0.99,0.1,107,7.9000,11,1
montecarlo,2000,0.1,0.99,0.1,108,8.1000,9,1
montecarlo,2000,0.1,0.99,0.1,109,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,110,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,111,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,112,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,113,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,114,9.0000,10,1
montecarlo,2000,0.1,0.99,0.1,115,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,116,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,117,8.1000,9,1
montecarlo,2000,0.1,0.99,0.1,118,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,119,9.0000,10,1
montecarlo,2000,0.1,0.99,0.1,120,9.0000,10,1
montecarlo,2000,0.1,0.99,0.1,121,8.1000,9,1
montecarlo,2000,0.1,0.99,0.1,122,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,123,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,124,7.9000,11,1
montecarlo,2000,0.1,0.99,0.1,125,8.1000,9,1
montecarlo,2000,0.1,0.99,0.1,126,8.1000,9,1
montecarlo,2000,0.1,0.99,0.1,127,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,128,8.1000,9,1
montecarlo,2000,0.1,0.99,0.1,129,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,130,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,131,9.0000,10,1
montecarlo,2000,0.1,0.99,0.1,132,8.1000,9,1
montecarlo,2000,0.1,0.99,0.1,133,8.1000,9,1
montecarlo,2000,0.1,0.99,0.1,134,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,135,9.0000,10,1
montecarlo,2000,0.1,0.99,0.1,136,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,137,7.0000,10,1
montecarlo,2000,0.1,0.99,0.1,138,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,139,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,140,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,141,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,142,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,143,9.0000,10,1
montecarlo,2000,0.1,0.99,0.1,144,8.1000,9,1
montecarlo,2000,0.1,0.99,0.1,145,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,146,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,147,8.8000,12,1
montecarlo,2000,0.1,0.99,0.1,148,8.1000,9,1
montecarlo,2000,0.1,0.99,0.1,149,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,150,7.9000,11,1
montecarlo,2000,0.1,0.99,0.1,151,9.0000,10,1
montecarlo,2000,0.1,0.99,0.1,152,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,153,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,154,9.0000,10,1
montecarlo,2000,0.1,0.99,0.1,155,8.1000,9,1
montecarlo,2000,0.1,0.99,0.1,156,7.7000,13,1
montecarlo,2000,0.1,0.99,0.1,157,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,158,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,159,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,160,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,161,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,162,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,163,9.0000,10,1
montecarlo,2000,0.1,0.99,0.1,164,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,165,8.1000,9,1
montecarlo,2000,0.1,0.99,0.1,166,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,167,7.0000,10,1
montecarlo,2000,0.1,0.99,0.1,168,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,169,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,170,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,171,8.1000,9,1
montecarlo,2000,0.1,0.99,0.1,172,8.1000,9,1
montecarlo,2000,0.1,0.99,0.1,173,6.8000,12,1
montecarlo,2000,0.1,0.99,0.1,174,8.1000,9,1
montecarlo,2000,0.1,0.99,0.1,175,7.0000,10,1
montecarlo,2000,0.1,0.99,0.1,176,7.2000,28,1
montecarlo,2000,0.1,0.99,0.1,177,-5.5000,125,1
montecarlo,2000,0.1,0.99,0.1,178,5.9000,31,1
montecarlo,2000,0.1,0.99,0.1,179,6.7000,23,1
montecarlo,2000,0.1,0.99,0.1,180,9.0000,10,1
montecarlo,2000,0.1,0.99,0.1,181,8.8000,12,1
montecarlo,2000,0.1,0.99,0.1,182,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,183,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,184,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,185,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,186,7.9000,11,1
montecarlo,2000,0.1,0.99,0.1,187,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,188,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,189,7.9000,11,1
montecarlo,2000,0.1,0.99,0.1,190,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,191,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,192,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,193,8.8000,12,1
montecarlo,2000,0.1,0.99,0.1,194,9.0000,10,1
montecarlo,2000,0.1,0.99,0.1,195,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,196,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,197,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,198,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,199,8.1000,9,1
montecarlo,2000,0.1,0.99,0.1,200,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,201,7.9000,11,1
montecarlo,2000,0.1,0.99,0.1,202,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,203,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,204,8.8000,12,1
montecarlo,2000,0.1,0.99,0.1,205,8.1000,9,1
montecarlo,2000,0.1,0.99,0.1,206,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,207,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,208,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,209,7.9000,11,1
montecarlo,2000,0.1,0.99,0.1,210,5.9000,11,1
montecarlo,2000,0.1,0.99,0.1,211,8.8000,12,1
montecarlo,2000,0.1,0.99,0.1,212,6.4000,36,1
montecarlo,2000,0.1,0.99,0.1,213,6.5000,25,1
montecarlo,2000,0.1,0.99,0.1,214,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,215,8.1000,9,1
montecarlo,2000,0.1,0.99,0.1,216,8.1000,9,1
montecarlo,2000,0.1,0.99,0.1,217,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,218,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,219,7.9000,11,1
montecarlo,2000,0.1,0.99,0.1,220,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,221,9.0000,10,1
montecarlo,2000,0.1,0.99,0.1,222,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,223,7.9000,11,1
montecarlo,2000,0.1,0.99,0.1,224,8.1000,9,1
montecarlo,2000,0.1,0.99,0.1,225,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,226,7.9000,11,1
montecarlo,2000,0.1,0.99,0.1,227,7.9000,11,1
montecarlo,2000,0.1,0.99,0.1,228,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,229,7.9000,11,1
montecarlo,2000,0.1,0.99,0.1,230,9.0000,10,1
montecarlo,2000,0.1,0.99,0.1,231,9.0000,10,1
montecarlo,2000,0.1,0.99,0.1,232,9.0000,10,1
montecarlo,2000,0.1,0.99,0.1,233,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,234,9.0000,10,1
montecarlo,2000,0.1,0.99,0.1,235,9.0000,10,1
montecarlo,2000,0.1,0.99,0.1,236,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,237,8.1000,9,1
montecarlo,2000,0.1,0.99,0.1,238,9.0000,10,1
montecarlo,2000,0.1,0.99,0.1,239,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,240,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,241,7.9000,11,1
montecarlo,2000,0.1,0.99,0.1,242,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,243,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,244,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,245,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,246,7.0000,10,1
montecarlo,2000,0.1,0.99,0.1,247,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,248,8.1000,9,1
montecarlo,2000,0.1,0.99,0.1,249,9.0000,10,1
montecarlo,2000,0.1,0.99,0.1,250,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,251,9.0000,10,1
montecarlo,2000,0.1,0.99,0.1,252,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,253,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,254,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,255,8.1000,9,1
montecarlo,2000,0.1,0.99,0.1,256,8.1000,9,1
montecarlo,2000,0.1,0.99,0.1,257,9.0000,10,1
montecarlo,2000,0.1,0.99,0.1,258,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,259,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,260,7.9000,11,1
montecarlo,2000,0.1,0.99,0.1,261,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,262,8.1000,9,1
montecarlo,2000,0.1,0.99,0.1,263,8.8000,12,1
montecarlo,2000,0.1,0.99,0.1,264,8.1000,9,1
montecarlo,2000,0.1,0.99,0.1,265,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,266,7.9000,11,1
montecarlo,2000,0.1,0.99,0.1,267,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,268,8.1000,9,1
montecarlo,2000,0.1,0.99,0.1,269,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,270,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,271,8.1000,9,1
montecarlo,2000,0.1,0.99,0.1,272,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,273,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,274,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,275,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,276,7.9000,11,1
montecarlo,2000,0.1,0.99,0.1,277,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,278,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,279,8.1000,9,1
montecarlo,2000,0.1,0.99,0.1,280,7.7000,13,1
montecarlo,2000,0.1,0.99,0.1,281,8.8000,12,1
montecarlo,2000,0.1,0.99,0.1,282,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,283,9.0000,10,1
montecarlo,2000,0.1,0.99,0.1,284,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,285,8.1000,9,1
montecarlo,2000,0.1,0.99,0.1,286,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,287,8.1000,9,1
montecarlo,2000,0.1,0.99,0.1,288,8.1000,9,1
montecarlo,2000,0.1,0.99,0.1,289,8.1000,9,1
montecarlo,2000,0.1,0.99,0.1,290,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,291,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,292,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,293,9.0000,10,1
montecarlo,2000,0.1,0.99,0.1,294,6.8000,12,1
montecarlo,2000,0.1,0.99,0.1,295,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,296,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,297,7.0000,10,1
montecarlo,2000,0.1,0.99,0.1,298,7.9000,11,1
montecarlo,2000,0.1,0.99,0.1,299,7.7000,13,1
montecarlo,2000,0.1,0.99,0.1,300,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,301,7.7000,13,1
montecarlo,2000,0.1,0.99,0.1,302,8.8000,12,1
montecarlo,2000,0.1,0.99,0.1,303,8.1000,9,1
montecarlo,2000,0.1,0.99,0.1,304,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,305,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,306,8.1000,9,1
montecarlo,2000,0.1,0.99,0.1,307,9.0000,10,1
montecarlo,2000,0.1,0.99,0.1,308,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,309,8.1000,9,1
montecarlo,2000,0.1,0.99,0.1,310,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,311,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,312,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,313,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,314,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,315,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,316,8.1000,9,1
montecarlo,2000,0.1,0.99,0.1,317,5.7000,13,1
montecarlo,2000,0.1,0.99,0.1,318,8.1000,9,1
montecarlo,2000,0.1,0.99,0.1,319,8.1000,9,1
montecarlo,2000,0.1,0.99,0.1,320,8.1000,9,1
montecarlo,2000,0.1,0.99,0.1,321,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,322,8.8000,12,1
montecarlo,2000,0.1,0.99,0.1,323,9.0000,10,1
