algorithm,episodes,alpha,gamma,epsilon,episode,reward,steps,reached
qlearning,500,0.1,0.99,0.1,1,-16.4000,64,1
qlearning,500,0.1,0.99,0.1,2,-1.6000,36,1
qlearning,500,0.1,0.99,0.1,3,-1.1000,81,1
qlearning,500,0.1,0.99,0.1,4,4.1000,29,1
qlearning,500,0.1,0.99,0.1,5,7.7000,13,1
qlearning,500,0.1,0.99,0.1,6,2.2000,58,1
qlearning,500,0.1,0.99,0.1,7,8.8000,12,1
qlearning,500,0.1,0.99,0.1,8,4.8000,32,1
qlearning,500,0.1,0.99,0.1,9,6.0000,20,1
qlearning,500,0.1,0.99,0.1,10,1.1000,39,1
qlearning,500,0.1,0.99,0.1,11,8.6000,14,1
qlearning,500,0.1,0.99,0.1,12,8.0000,20,1
qlearning,500,0.1,0.99,0.1,13,6.5000,25,1
qlearning,500,0.1,0.99,0.1,14,9.0000,10,1
qlearning,500,0.1,0.99,0.1,15,6.5000,25,1
qlearning,500,0.1,0.99,0.1,16,7.7000,13,1
qlearning,500,0.1,0.99,0.1,17,3.7000,33,1
qlearning,500,0.1,0.99,0.1,18,8.8000,12,1
qlearning,500,0.1,0.99,0.1,19,8.4000,16,1
qlearning,500,0.1,0.99,0.1,20,7.7000,13,1
qlearning,500,0.1,0.99,0.1,21,8.6000,14,1
qlearning,500,0.1,0.99,0.1,22,4.7000,23,1
qlearning,500,0.1,0.99,0.1,23,9.2000,8,1
qlearning,500,0.1,0.99,0.1,24,7.3000,17,1
qlearning,500,0.1,0.99,0.1,25,9.0000,10,1
qlearning,500,0.1,0.99,0.1,26,9.2000,8,1
qlearning,500,0.1,0.99,0.1,27,7.1000,19,1
qlearning,500,0.1,0.99,0.1,28,7.5000,15,1
qlearning,500,0.1,0.99,0.1,29,9.2000,8,1
qlearning,500,0.1,0.99,0.1,30,6.6000,14,1
qlearning,500,0.1,0.99,0.1,31,9.2000,8,1
qlearning,500,0.1,0.99,0.1,32,7.3000,17,1
qlearning,500,0.1,0.99,0.1,33,7.0000,10,1
qlearning,500,0.1,0.99,0.1,34,9.0000,10,1
qlearning,500,0.1,0.99,0.1,35,7.7000,13,1
qlearning,500,0.1,0.99,0.1,36,9.2000,8,1
qlearning,500,0.1,0.99,0.1,37,9.0000,10,1
qlearning,500,0.1,0.99,0.1,38,8.6000,14,1
qlearning,500,0.1,0.99,0.1,39,9.2000,8,1
qlearning,500,0.1,0.99,0.1,40,9.2000,8,1
qlearning,500,0.1,0.99,0.1,41,8.1000,9,1
qlearning,500,0.1,0.99,0.1,42,9.2000,8,1
qlearning,500,0.1,0.99,0.1,43,9.0000,10,1
qlearning,500,0.1,0.99,0.1,44,9.2000,8,1
qlearning,500,0.1,0.99,0.1,45,7.9000,11,1
qlearning,500,0.1,0.99,0.1,46,8.1000,9,1
qlearning,500,0.1,0.99,0.1,47,8.1000,9,1
qlearning,500,0.1,0.99,0.1,48,9.2000,8,1
qlearning,500,0.1,0.99,0.1,49,9.2000,8,1
qlearning,500,0.1,0.99,0.1,50,9.2000,8,1
qlearning,500,0.1,0.99,0.1,51,8.1000,9,1
qlearning,500,0.1,0.99,0.1,52,8.1000,9,1
qlearning,500,0.1,0.99,0.1,53,9.2000,8,1
qlearning,500,0.1,0.99,0.1,54,9.2000,8,1
qlearning,500,0.1,0.99,0.1,55,9.2000,8,1
qlearning,500,0.1,0.99,0.1,56,9.2000,8,1
qlearning,500,0.1,0.99,0.1,57,9.2000,8,1
qlearning,500,0.1,0.99,0.1,58,7.0000,10,1
qlearning,500,0.1,0.99,0.1,59,8.8000,12,1
qlearning,500,0.1,0.99,0.1,60,7.9000,11,1
qlearning,500,0.1,0.99,0.1,61,9.2000,8,1
qlearning,500,0.1,0.99,0.1,62,9.2000,8,1
qlearning,500,0.1,0.99,0.1,63,8.1000,9,1
qlearning,500,0.1,0.99,0.1,64,9.0000,10,1
qlearning,500,0.1,0.99,0.1,65,8.1000,9,1
qlearning,500,0.1,0.99,0.1,66,9.2000,8,1
qlearning,500,0.1,0.99,0.1,67,9.2000,8,1
qlearning,500,0.1,0.99,0.1,68,8.1000,9,1
qlearning,500,0.1,0.99,0.1,69,9.2000,8,1
qlearning,500,0.1,0.99,0.1,70,8.1000,9,1
qlearning,500,0.1,0.99,0.1,71,9.2000,8,1
qlearning,500,0.1,0.99,0.1,72,8.1000,9,1
qlearning,500,0.1,0.99,0.1,73,7.0000,10,1
qlearning,500,0.1,0.99,0.1,74,9.2000,8,1
qlearning,500,0.1,0.99,0.1,75,7.9000,11,1
qlearning,500,0.1,0.99,0.1,76,8.1000,9,1
qlearning,500,0.1,0.99,0.1,77,9.0000,10,1
qlearning,500,0.1,0.99,0.1,78,9.2000,8,1
qlearning,500,0.1,0.99,0.1,79,9.0000,10,1
qlearning,500,0.1,0.99,0.1,80,7.9000,11,1
qlearning,500,0.1,0.99,0.1,81,8.1000,9,1
qlearning,500,0.1,0.99,0.1,82,9.0000,10,1
qlearning,500,0.1,0.99,0.1,83,9.2000,8,1
qlearning,500,0.1,0.99,0.1,84,9.2000,8,1
qlearning,500,0.1,0.99,0.1,85,8.6000,14,1
qlearning,500,0.1,0.99,0.1,86,9.2000,8,1
qlearning,500,0.1,0.99,0.1,87,9.2000,8,1
qlearning,500,0.1,0.99,0.1,88,7.5000,15,1
qlearning,500,0.1,0.99,0.1,89,8.1000,9,1
qlearning,500,0.1,0.99,0.1,90,9.2000,8,1
qlearning,500,0.1,0.99,0.1,91,9.2000,8,1
qlearning,500,0.1,0.99,0.1,92,9.2000,8,1
qlearning,500,0.1,0.99,0.1,93,9.2000,8,1
qlearning,500,0.1,0.99,0.1,94,9.2000,8,1
qlearning,500,0.1,0.99,0.1,95,9.0000,10,1
qlearning,500,0.1,0.99,0.1,96,9.0000,10,1
qlearning,500,0.1,0.99,0.1,97,9.2000,8,1
qlearning,500,0.1,0.99,0.1,98,9.0000,10,1
qlearning,500,0.1,0.99,0.1,99,8.1000,9,1
qlearning,500,0.1,0.99,0.1,100,9.2000,8,1
qlearning,500,0.1,0.99,0.1,101,9.2000,8,1
qlearning,500,0.1,0.99,0.1,102,6.6000,14,1
qlearning,500,0.1,0.99,0.1,103,9.2000,8,1
qlearning,500,0.1,0.99,0.1,104,9.2000,8,1
qlearning,500,0.1,0.99,0.1,105,9.2000,8,1
qlearning,500,0.1,0.99,0.1,106,9.2000,8,1
qlearning,500,0.1,0.99,0.1,107,9.2000,8,1
qlearning,500,0.1,0.99,0.1,108,8.1000,9,1
qlearning,500,0.1,0.99,0.1,109,8.8000,12,1
qlearning,500,0.1,0.99,0.1,110,9.2000,8,1
qlearning,500,0.1,0.99,0.1,111,7.9000,11,1
qlearning,500,0.1,0.99,0.1,112,9.2000,8,1
