algorithm,episodes,alpha,gamma,epsilon,episode,reward,steps,reached
sarsa,600,0.1,0.99,0.1,1,-48.5000,135,1
sarsa,600,0.1,0.99,0.1,2,6.0000,20,1
sarsa,600,0.1,0.99,0.1,3,-2.1000,91,1
sarsa,600,0.1,0.99,0.1,4,5.1000,39,1
sarsa,600,0.1,0.99,0.1,5,4.0000,40,1
sarsa,600,0.1,0.99,0.1,6,6.8000,32,1
sarsa,600,0.1,0.99,0.1,7,9.2000,8,1
sarsa,600,0.1,0.99,0.1,8,-0.4000,64,1
sarsa,600,0.1,0.99,0.1,9,7.5000,15,1
sarsa,600,0.1,0.99,0.1,10,9.0000,10,1
sarsa,600,0.1,0.99,0.1,11,8.8000,12,1
sarsa,600,0.1,0.99,0.1,12,4.7000,23,1
sarsa,600,0.1,0.99,0.1,13,7.3000,17,1
sarsa,600,0.1,0.99,0.1,14,4.4000,36,1
sarsa,600,0.1,0.99,0.1,15,7.5000,15,1
sarsa,600,0.1,0.99,0.1,16,8.4000,16,1
sarsa,600,0.1,0.99,0.1,17,9.2000,8,1
sarsa,600,0.1,0.99,0.1,18,7.7000,13,1
sarsa,600,0.1,0.99,0.1,19,3.9000,31,1
sarsa,600,0.1,0.99,0.1,20,6.7000,23,1
sarsa,600,0.1,0.99,0.1,21,8.6000,14,1
sarsa,600,0.1,0.99,0.1,22,9.2000,8,1
sarsa,600,0.1,0.99,0.1,23,3.6000,24,1
sarsa,600,0.1,0.99,0.1,24,9.0000,10,1
sarsa,600,0.1,0.99,0.1,25,6.2000,18,1
sarsa,600,0.1,0.99,0.1,26,7.7000,13,1
sarsa,600,0.1,0.99,0.1,27,9.0000,10,1
sarsa,600,0.1,0.99,0.1,28,9.2000,8,1
sarsa,600,0.1,0.99,0.1,29,8.6000,14,1
sarsa,600,0.1,0.99,0.1,30,8.1000,9,1
sarsa,600,0.1,0.99,0.1,31,8.8000,12,1
sarsa,600,0.1,0.99,0.1,32,8.8000,12,1
sarsa,600,0.1,0.99,0.1,33,7.3000,17,1
sarsa,600,0.1,0.99,0.1,34,8.1000,9,1
sarsa,600,0.1,0.99,0.1,35,9.0000,10,1
sarsa,600,0.1,0.99,0.1,36,9.2000,8,1
sarsa,600,0.1,0.99,0.1,37,7.5000,15,1
sarsa,600,0.1,0.99,0.1,38,9.2000,8,1
sarsa,600,0.1,0.99,0.1,39,9.0000,10,1
sarsa,600,0.1,0.99,0.1,40,9.2000,8,1
sarsa,600,0.1,0.99,0.1,41,9.0000,10,1
sarsa,600,0.1,0.99,0.1,42,9.2000,8,1
sarsa,600,0.1,0.99,0.1,43,9.2000,8,1
sarsa,600,0.1,0.99,0.1,44,9.2000,8,1
sarsa,600,0.1,0.99,0.1,45,9.2000,8,1
sarsa,600,0.1,0.99,0.1,46,8.1000,9,1
sarsa,600,0.1,0.99,0.1,47,9.2000,8,1
sarsa,600,0.1,0.99,0.1,48,8.8000,12,1
